FECHA,DEPARTAMENTO,MUNICIPIO,EVENTO,FALLECIDOS,HERIDOS,FAMILIAS,VIVIENDAS DESTRUIDAS,HECTAREAS,RECURSOS EJECUTADOS,VALOR KIT DE ALIMENTO,VALOR MATERIALES DE CONSTRUCCION
2019-01-01 12:00:00,ANTIOQUIA,SAN JERONIMO,INCENDIO ESTRUCTURAL,0,0,1,1,0.0,0.0,0.0,0.0
2019-01-01 12:00:00,RISARALDA,MARSELLA,INMERSION,1,0,0,0,0.0,0.0,0.0,0.0
2019-01-01 12:00:00,ANTIOQUIA,ANZA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,6.0,0.0,0.0,0.0
2019-01-01 12:00:00,ANTIOQUIA,MONTEBELLO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-01 12:00:00,ANTIOQUIA,CAUCASIA,INCENDIO ESTRUCTURAL,0,1,1,1,0.0,0.0,0.0,0.0
2019-01-01 12:00:00,ANTIOQUIA,AMAGA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-01 12:00:00,ANTIOQUIA,SAN VICENTE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0
2019-01-01 12:00:00,MAGDALENA,SANTA MARTA,COLAPSO ESTRUCTURAL,0,0,1,0,0.0,0.0,0.0,0.0
2019-01-01 12:00:00,SANTANDER,LOS SANTOS,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,15.0,0.0,0.0,0.0
2019-01-01 12:00:00,CUNDINAMARCA,ZIPAQUIRA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,30.0,0.0,0.0,0.0
2019-01-02 12:00:00,META,VISTAHERMOSA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,200.0,0.0,0.0,0.0
2019-01-01 12:00:00,ANTIOQUIA,LA CEJA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-01 12:00:00,ANTIOQUIA,MEDELLIN,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20.0,0.0,0.0,0.0
2019-01-02 12:00:00,BOYACA,BOAVITA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0
2019-01-02 12:00:00,GUAINIA,INIRIDA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0
2019-01-01 12:00:00,CUNDINAMARCA,VILLETA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-01 12:00:00,CUNDINAMARCA,BITUIMA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-01 12:00:00,CUNDINAMARCA,VILLETA,INCENDIO ESTRUCTURAL,0,0,1,0,0.0,0.0,0.0,0.0
2019-01-02 12:00:00,BOYACA,SOATA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,50.0,0.0,0.0,0.0
2019-01-02 12:00:00,BOYACA,SATIVANORTE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0
2019-01-02 12:00:00,BOYACA,JERICO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0
2019-01-02 12:00:00,BOYACA,RAMIRIQUI,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0
2019-01-02 12:00:00,BOYACA,PAIPA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0
2019-01-02 12:00:00,SUCRE,COVEÑAS,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-01 12:00:00,BOYACA,SAN MATEO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0
2019-01-02 12:00:00,BOYACA,VENTAQUEMADA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0
2019-01-01 12:00:00,CUNDINAMARCA,LA CALERA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0
2019-01-02 12:00:00,CUNDINAMARCA,FUQUENE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-02 12:00:00,CUNDINAMARCA,FOMEQUE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
